Movie Name,Ratings
Gangaajal (2003),7.7
Anjaam Pathiraa (2020),7.7
 Okkadu (2003),7.7
Pokiri (2006),7.7
 The Lunchbox (2013),7.7
Vettaiyaadu Vilaiyaadu (2006),7.7
 Mumbai Police (2013),7.7
Ab Tak Chhappan (2004),7.7
Thuppakki (2012),7.7
RangiTaranga (2015),7.7
Manam (2014),7.7
 Unnaipol Oruvan (2009),7.7
 Ghilli (2004),7.7
 Angamaly Diaries (2017),7.7
 Vicky Donor (2012),7.7
 Oopiri (2016),7.7
Veer Zaara (2004),7.7
 Mother India (1957),7.7
Secret Superstar (2017),7.7
Kaththi (2014),7.7
 Stanley Ka Dabba (2011),7.7
Mr. India (1987),7.7
Nayak: The Real Hero (2001),7.7
Rock On!! (2008,7.7
Mimi (2021),7.7
Udta Punjab (2016),7.7
 Thulladha Manamum Thullum (1999),7.7
Sonchiriya (2019),7.7
Ayirathil Oruvan (2010),7.7
Badla (2019),7.7
Happy Days (2007),7.7
Dasvidaniya (2008),7.7
Raazi (2018),7.7
Oru CBI Diary Kurippu (1988),7.7
 Kai Po Che (2013),7.7
Dia (2020),7.7
Minnal Murali (2021),7.7
 Poove Unakkaga (1996),7.7
 Goodachari (2018),7.7
Don (1978),7.6
 Joji (2021),7.6
